上市公司代码()_ComCd,最新公司全称_LComNm,最新公司英文名称_LComNm_eng,A股股票简称_A_LStkNm,A股股票代码_A_StkCd,主营业务_MainBusiness,证监会行业门类名称_CsrcIcNm1,省份与直辖市名称_Prov
C600000,上海浦东发展银行股份有限公司,"Shanghai Pudong Development Bank Co.,Ltd.",浦发银行,600000,吸收公众存款;发放短期、中期和长期贷款; 办理结算;办理票据贴现;发行金融债券;代理发行、 代理兑付、承销政府债券;买卖政府债券;同业拆借; 提供信用证服务及担保;代理收付款项及代理保险业务; 提供保险箱业务;外汇存款;外汇贷款;外汇汇款; 外币兑换;国际结算;同业外汇拆借; 外汇票据的承兑和贴现;外汇借款;外汇担保;结汇、售汇; 代理买卖股票以外的外币有价证券;代客外汇买卖;资信调查、咨询、见证业务;经中国人民银行批准经营的其他服务。,金融、保险业,上海
C600001,邯郸钢铁股份有限公司,"Handan Iron &steel Co.,Ltd",邯郸钢铁,600001,黑色金属冶炼、钢坯、钢材轧制、烧结矿冶炼、焦炭及副产品制造、销售及进出口业务；机械配件加工、维修；经营本企业自产产品和技术的出口业务和本企业所需的原辅材料、机械设备、零配件及技术的进口业务；技术开发、技术转让、技术咨询、技术服务；氧气、蒸汽生产；发电及污水处理。,制造业,河北
C600002,中国石化齐鲁股份有限公司,Sinopec Qilu Company Ltd.,齐鲁石化,600002,石油化工产品及无机化工产品的生产、加工、销售、仓储、运输及科研开发和综合技术服务。,制造业,山东
C600003,东北高速公路股份有限公司,Northeast Expressway Company Ltd.,ST东北高,600003,投资、开发、建设和经营管理收费公路；建筑材料生产、经营；饮食服务；机械设备及配件、机电产品(含汽车)；燃料、石油化工产品；广告业；公路运输业；房地产业；高科技产业；旅游；农林牧产品加工；环保工程；进出口；生物工程；粮油食品加工。,交通运输、仓储业,吉林省
C600004,广州白云国际机场股份有限公司,"Guangzhou Baiyun International Airport Co.,Ltd.",白云机场,600004,旅旅客过港服务；与航空运输有关的地面服务、交通运输和仓储服务；航空设施使用服务；提供航空营业场所；航空器维修(凭资质证书经营)；航空代理、航空保险销售代理业务；航空运输技术协作中介服务；行李封包业务；航空应急救援服务；航空信息咨询服务；航空运输业务有关的延伸服务，普通货物运输及代办报关手续服务。,交通运输、仓储业,广东
C600005,武汉钢铁股份有限公司,Wuhan Iron and Steel Company Limited.,武钢股份,600005,冶金产品及副产品、钢铁延伸产品制造； 冶金产品和技术开发、咨询和服务。,制造业,湖北
C600006,东风汽车股份有限公司,"Dongfeng Automobile Co.,Ltd",东风汽车,600006,开发、设计、生产、销售汽车、汽车发动机及其零部件、铸件,制造业,湖北
C600007,中国国际贸易中心股份有限公司,China World Trade Center Company Ltd.,中国国贸,600007,写字楼、宾馆、公寓、商场、展览厅、会议厅、停车场的出租、服务；提供住宿、 餐饮、幼儿园、文体娱乐服务；房地产开发与经营； 物业管理、承办会议、展览、展销；陆路货物运输； 对外经贸信息咨询；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。酒吧，烟草专卖零售，销售预包装食品，美容美发，洗浴（桑拿按摩、水疗），健身房，游泳池，零售商品部，图书、期刊、报纸的零售，商务中心（以工商登记管理机关核定为准）。,社会服务业,北京
C600008,北京首创股份有限公司,"Beijing Capital Co.,Ltd",首创股份,600008,公用基础设施的投资及投资管理；高科技产品的技术开发、技术咨询、技术转让、技术服务、技术培训；销售自行开发后的产品；房地产项目开发、销售商品房、物业管理；投资咨询；销售百货、五金交电、副食品、包装食品、饮料、家具、工艺美术品；住宿，中餐、西餐，零售酒、进口卷烟、国产卷烟、雪茄烟，美容美发（仅限新大都饭店经营）；零售烟（仅限新大都商品部经营）。,电力、煤气及水的生产和供应业,北京
C600009,上海国际机场股份有限公司,"Shanghai International Airport Co.,Ltd.",上海机场,600009,"为国内外航空运输企业及旅客提供地面保障服务，经营出租机场内航空营业场所、商业场所和办公场所,国内贸易（除专项规定）；广告经营，货运代理、代理报关、代理报检业务，长途客运站，经营其它与航空运输有关的业务；综合开发，经营国家政策许可的其它投资项目。",交通运输、仓储业,上海
C600010,内蒙古包钢钢联股份有限公司,"Inner Mongolia BaoTou Steel Union Co.,Ltd.",包钢股份,600010,生产、销售：黑色金属及其延压加工产品、冶金机械、设备及配件，焦炭及焦化副产品（化工）生产和销售、冶金的投资、黑色金属冶炼、工业用氧、工业用氮、工业氢、纯氩、压缩空气、蒸汽、城市煤气经营、钢铁产品采购、耐火材料、冶金炉料产品生产和销售、耐火材料技术转让和施工服务、废钢铁加工、采购和销售、钢铁生产技术咨询、专有管理技术（高炉无料钟炉顶布料器等）、电力设备的施工、维护和检修以及电力技术服务、火车货物运输和工业用水，原、燃、辅料的仓储、配送及成品库的仓储、物流管理，自营进出口。（法律、行政法规、国务院决,制造业,内蒙古
C600011,华能国际电力股份有限公司,"Huaneng Power International,Inc.",华能国际,600011,投资建设、经营管理电厂及开发、投资、经营与电厂有关的以出口为主的其他相关企业；热力生产及供应。,电力、煤气及水的生产和供应业,北京
C600012,安徽皖通高速公路股份有限公司,Anhui Expressway Company Limited,皖通高速,600012,高等级公路投资、建设、设计、监理，收费、养护、施救、路产路权管理，广告、餐饮、加油、修配、仓储、运输、建筑装潢及其他配套服务，公路建设经营咨询服务，房屋租赁，汽车及零配件、建筑材料销售，高新技术产品开发、生产、销售。,交通运输、仓储业,安徽
C600015,华夏银行股份有限公司,"Hua Xia Bank Co., limited",华夏银行,600015,吸收人民币存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项；提供保管箱服务；外汇存款；外汇贷款；外汇汇款；外汇借款；外汇票据的承兑和贴现；自营或代客外汇买卖；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；外币兑换；外汇担保；外汇租赁；贸易、非贸易结算；资信调查、咨询、见证业务；以及经中国人民银行批准的其他业务。,金融、保险业,北京
C600016,中国民生银行股份有限公司,"China Minsheng Banking Corp., ltd.",民生银行,600016,"1、吸收公众存款；2、发放短期、中期和长期贷款；3、办理国内外结算；4、办理票据承兑与贴现；5、发行金融债券；6、代理发行、代理兑付,承销政府债券；7、买卖政府债券、金融债券；8、从事同业拆借；9、买卖、代理买卖外汇；10、从事银行卡业务；11、提供信用证服务及担保；12、代理收付款项及代理保险业务；13、提供保管箱服务；14、经国务院银行业监督管理机构批准的其它业务。",金融、保险业,北京
C600017,日照港股份有限公司,"Rizhao Port Co., ltd.",日照港,600017,"前臵许可经营项目：码头和其他港口设施服务；在港区内从事货物装卸、仓储服务；为船舶进出港、靠离码头、移泊提供顶推、拖带等港口拖轮服务；港口机械、设施维修。（以上范围凭有效港口经营许可证经营）
一般经营项目：机电设备及零配件、劳保用品、橡胶制品、五金、办公用品、金属材料、水泥、木材的销售；港区内通信设施维护、维修服务；污水处理。",交通运输、仓储业,山东
C600018,上海国际港务(集团)股份有限公司,"Shanghai International Port (Group) Co.,Ltd",上港集团,600018,国内外货物（含集装箱）、装卸（含过驳）、储存、中转和水陆运输；集装箱拆拼箱、清洗、修理、制造和租赁；国际航运、仓储、保管、加工、配送及物流信息管理；为国际旅客提供候船和上下船舶设施和服务；船舶引水、拖带，船务代理，货运代理；为船舶提供燃物料、生活品供应等船舶港口服务；港口设施租赁；港口信息、技术咨询服务；港口码头建设、管理和经营（涉及行政许可的凭许可证经营）；港口起重设备、搬运机械、机电设备及配件的批发及进出口。（以工商行政管理部门最终核准为准）,交通运输、仓储业,上海
C600019,宝山钢铁股份有限公司,"Baoshan Iron & Steel Co.,Ltd.",宝钢股份,600019,钢铁冶炼、加工，电力、煤炭、工业气体生产、码头、仏储、运输等不钢铁相关的业务，技术开发、技术转讥、技术服务和技术管理咨询服务，汽车修理，商品和技术的进出口，[有色金属冶炼及压延加工，工业炉窑，化工原料及产品的生产和销售，金属矿石、煤炭、钢铁、非金属矿石装卸、港区服务，水路货运代理，水路货物装卸联运，船舶代理，国外承包工程劳务合作，国际招标，工程招标代理，国内贸易，对销、转口贸易，废钢，煤炭，燃料油，化学危险品（限批发）]（限分支机构绊营）、机劢车安检。,制造业,上海
C600020,河南中原高速公路股份有限公司,Henan Zhongyuan Expressway Company Limited,中原高速,600020,高等级公路、大型和特大型独立桥梁等交通基础设施项目投资、经营管理和维护；高科技项目投资、开发；机械设备租赁与修理；汽车配件、公路建筑材料、机电产品（不含汽车）、家具、百货、土特产品、工艺美术品、服装鞋帽、家用电器的销售；卷烟、雪茄烟（凭证），饮食、住宿服务、副食销售（凭证），音像制品、书刊杂志出租、零售（凭证）（以上范围限分支机构经营）；技术服务、咨询服务；车辆清洗服务；货物配送（不含运输）；房屋租赁；加油站设施、设备租赁；实物租赁；高速公路自有产权广告牌租赁、服务区经营管理。,交通运输、仓储业,河南
C600021,上海电力股份有限公司,Shanghai Electric Power Company Limited,上海电力,600021,电力的开发、建设、经营及管理；组织电力、热力生产、销售；电力企业内部电力人员技能培训；合同能源管理；电力工程施工总承包；机电安装工程施工总承包；新能源与可再生能源项目开发及应用；煤炭经销；招投标代理；电力及相关业务的科技开发与咨询服务；整体煤气化联合循环发电项目的技术开发与技术咨询服务；自有物业管理；电力及合同能源管理相关的设备、装置、检测仪器及零部件等商品的进出口和自有技术的出口（国家限定公司经营或禁止进出口的商品和技术除外）；承包境外工程和境内国际招标工程；对外派遣境外工程及境外电站运行管理,电力、煤气及水的生产和供应业,上海
C600022,山东钢铁股份有限公司,Shandong Iron And Steel Company Ltd,山东钢铁,600022,    钢铁冶炼、加工及技术咨询服务，钢材、大锻件、焦炭及炼焦化产品、水渣和炼钢副产品的生产及销售，铁矿石及类似矿石销售，自营进出口业务；许可证批准范围内的危险化学品生产、销售（禁止储存），煤气供应，发电，供热。,制造业,山东
C600026,中海发展股份有限公司,China Shipping Development Company Limited,中海发展,600026,主营沿海、远洋、长江货物运输，船舶租赁，货物代理、代运业务；兼营船舶买卖、集装箱修造、船舶配备件代购代销，船舶技术咨询和转让；国内沿海散货船、油船海务管理、机务管理及船舶检修、保养；国际船舶管理业务（涉及行政许可的凭许可证经营）。,交通运输、仓储业,上海
C600027,华电国际电力股份有限公司,Huadian Power International Corporation Limited,华电国际,600027,建设、经营管理发电厂和其他与发电相关的产业，电力业务相关的技术服务、信息咨询。,电力、煤气及水的生产和供应业,山东
C600028,中国石油化工股份有限公司,China Petroleum & Chemical Corporation,中国石化,600028,非煤矿山（石油、天然气等）、危险化学品（乙烯、丙烯、丁二烯、石脑油等）、重油、橡胶及其他石油化工原料和产品的生产、储存、管道运输、陆路运输、水路运输、销售；石油炼制；汽油、煤油、柴油的批发业务及零售（限分支机构经营）业务；天然气化工、煤化工的生产、储存、运输、销售;润滑油、燃料油、溶剂油、沥青的销售；化肥生产；加气站经营，压缩天然气(CNG)、液化天然气（LNG）、液化石油气（LPG）、城市燃气销售；加电站经营；石油石化机器、设备的制造、监造、安装；石油石化原辅材料、设备及零部件的采购、销售；技术及信息、替,采掘业,北京
C600029,中国南方航空股份有限公司,China Southern Airlines Company Limited,南方航空,600029,"（Ⅰ）提供国内、地区和国际定期及不定期航空客、货、邮、行李运输服务；
（Ⅱ）提供通用航空服务；
（Ⅲ）提供航空器维修服务；
（Ⅳ）经营国内外航空公司的代理业务；
（Ⅴ）提供航空配餐服务；
（Ⅵ）提供酒店经营；
（Ⅶ）飞机租赁和航空意外保险销售代理；
（Ⅷ）进行其他航空业务及相关业务，包括为该等业务进行广告宣传；
（Ⅸ）保险兼业代理服务。（最终以国家工商行政管理总局核定的为准）",交通运输、仓储业,广东
C600030,中信证券股份有限公司,CITIC Securities Company Limited,中信证券,600030,证券经纪（限山东省、河南省、浙江省、福建省、江西省以外区域）；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品。公司不得超出核定的业务范围经营其他业务。,金融、保险业,深圳市
C600031,三一重工股份有限公司,"Sany Heavy Industry Co., ltd",三一重工,600031,建筑工程机械、起重机械、停车库、通用设备及机电设备的生产、销售与维修（其中特种设备制造须凭本企业行政许可）；金属制品、橡胶制品及电子产品、钢丝增强液压橡胶软管和软管组合件的生产、销售；客车(不含小轿车)和改装车的制造与销售（凭审批机关许可文件经营）；五金及法律法规允许的矿产品、金属材料的销售；提供建筑工程机械租赁服务；经营商品和技术的进出口业务（国家法律法规禁止和限制的除外）。,制造业,北京
C600033,福建发展高速公路股份有限公司,Fujian Expressway Development Company Limited,福建高速,600033,"投资开发、建设、经营公路；机械设备租赁,咨询服务；工业生产资料,百货,建筑材料,五金、交电、化工,仪器仪表,电子计算机及配件的批发、零售、代购、代销（以上经营范围凡涉及国家专项专营规定的从其规定）。",交通运输、仓储业,福建
C600035,湖北楚天高速公路股份有限公司,"Hubei Chutian Expressway Co.,Ltd.",楚天高速,600035,对公路、桥梁和其他交通基础设施的投资，高速公路的经营、养护、道路设施的开发；高速公路沿线的餐饮住宿、商业娱乐、石油燃料、车辆维修、旅游开发、广告传媒、仓储物流、能源矿产、租赁等附属设施的管理和项目的经营开发；对公路沿线其他相关产业投资、开发；股权投资；现代服务业（以上项目涉及许可证的则凭证经营）。,交通运输、仓储业,湖北
C600036,招商银行股份有限公司,"China Merchants Bank Co., limited",招商银行,600036,"    吸收公众存款;发放短期、中期和长期贷款;办理结算;办理票据贴现;发行金融债券;代理发行、代理兑付、承销政府债券;买卖政府债券;同业拆借;提供信用证服务及担保;代理收付款项及代理保险业务;提供保管箱服务。外汇存款;外汇贷款;外汇汇款;外币兑换;国际结算;结汇、售汇;同业外汇拆借;外汇票据的承兑和贴现;外汇借款;外汇担保;买卖和代理买卖股票以外的外币有价证券;发行和代理发行股票以外的外币有价证券;自营和代客外汇买卖;资信调查、咨询、见证业务;离岸金融业务。经中国银监会批准的其他业务。
",金融、保险业,深圳市
C600037,北京歌华有线电视网络股份有限公司,"Beijing Gehua Catv Network Co.,Ltd.",歌华有线,600037,"许可经营项目：广播电视网络的建设开发、经营管理和维护；广播电视节目收转、传送；广播电视网络信息服务；广播电视视频点播业务；设计、制作电视广告；利用有线电视自有界面发布广告（不得在收费点播节目中发布广告）；有线电视站、共用天线设计、安装；制作、发行动画片、专题片、电视综艺，不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目及电视剧制作许可证有效期至2014年08月10日）；基于有线电视网的互联网接入业务、互联网数据传送增值业务、国内IP电话业务。 
一般经营项目：基础软件服务；应用软件服务；销售计?",传播与文化产业,北京
C600038,哈飞航空工业股份有限公司,"Hafei Aviation Industry Co., Ltd",哈飞股份,600038,航空产品及零配件的开发、设计、研制、生产、销售业务；航空科学技术开发、咨询、服务；机电产品的开发、设计研制、生产和销售（国家规定需审批的项目除外）。经营进出口业务（按外经贸部批准文件执行）。,制造业,黑龙江
C600039,四川路桥建设股份有限公司,"Sichuan Road&bridge Co.,Ltd",四川路桥,600039,公路工程、房建工程、市政公用工程、桥梁工程、电力工程、机电安装工程、地基与基础工程、土石方工程、预拌商品混凝土、混凝土预制构件、隧道工程、公路交通工程、建筑装修装饰工程；工程勘察设计、测绘服务、规划管理、工程管理服务；工程机械租赁、维修；建筑材料生产；高速公路管理；项目投资与资产管理；商品批发与零售；物业管理。,建筑业,四川
C600048,保利房地产(集团)股份有限公司,"Poly Real Estate Group Co.,Ltd",保利地产,600048,一级房地产开发。出租本公司开发商品房。房屋工程设计、旧楼拆迁、道路与土方工程施工。室内装修。冷气工程及管道安装。物业管理。酒店管理。批发与零售贸易（国家专营专控商品除外）。,房地产业,广东
C600050,中国联合网络通信股份有限公司,China United Network Communications Limited,中国联通,600050,    依法对电信行业进行投资，且仅限于通过联通BVI公司持有联通红筹公司股权。,信息技术业,上海
C600051,宁波联合集团股份有限公司,"Ningbo United Group Co., ltd.",宁波联合,600051,高新技术产品投资开发生产，能源、交通、通讯项目及市政基础设施建设，房地产开发经营；实业项目投资；国内贸易（国家限制经营商品凭证经营）；化工原料及产品；自营和代理各类货物和技术的进出口业务，但国家限定经营或禁止进出口的货物和技术除外；技术咨询；以下均限分支机构经营：环保设备、仪器仪表、普通机械、电器产品的开发、制造、安装、维修；环保工程建设；住宿、饮食服务，打字复印，书、报刊零售出租，卷烟、雪茄烟零售；客运服务；货运运输；工程建筑；轿车销售；旅游；汽车维修及租赁；机动车辆保险代理；二手车经销。,综合类,浙江
C600052,浙江广厦股份有限公司,"Zhejiang Guangsha Co.,Ltd.",浙江广厦,600052,    房地产投资，实业投资，房地产中介代理，园林、绿化、市政、幕墙、智能化、装修装饰、照明工程的施工，建筑材料、建筑机械的制造、销售，有色金属销售，水电开发，会展服务。,房地产业,浙江
C600053,江西中江地产股份有限公司,"Jiangxi Zhongjiang Real Estate Co.,Ltd",中江地产,600053,房地产开发及经营、土地开发及经营、对旅游项目的投资、装饰工程、建筑材料的生产与经营、建筑工程的设计与规划、物业管理、资产管理、自有房屋租赁。,房地产业,江西
C600054,黄山旅游发展股份有限公司,"Huangshan Tourism Development Co.,Ltd.",黄山旅游,600054,经工商行政管理部门核准，公司的经营范围是：旅游接待、服务，旅游商品开发、销售，旅游运输，饮食服务，旅游资源开发，组织举办与旅游相关的贸易活动，信息咨询。房地产开发经营、房地产租赁。,社会服务业,安徽
C600055,华润万东医疗装备股份有限公司,"China Resources Wandong Medical Equipment Co., Ltd.",华润万东,600055,各类医疗器械的生产和销售；普通货运,制造业,北京
C600056,中国医药保健品股份有限公司,"China Meheco Co., Ltd.",中国医药,600056,"(1)自营和代理除国家组织统一联合经营的16 种出口商品和国家实行核定公司经营的14种进口商品以外的其它商品和技术的进出口业务(不另附进出口商品目录)；
(2)经营高新技术及其产品的开发和进出口业务；
(3)承包国(境)外各类工程和境内国际招标工程，向国(境)外派遣各类工程、 生产和服务行业的劳务人员(本含海员)；
(4)经营寄售、维修、技术服务业务；
(5)经营进料加工和“三来一补”业务；
(6)经营易货贸易、对销贸易和转口贸易；
(7)开展国内贸易业务(国家有专项专营规定的除外)。
(8)经营国际招标采购业务",批发和零售贸易,北京
C600057,厦门象屿股份有限公司,"Xiamen Xiangyu Co., Ltd.",象屿股份,600057,"1、经营各类商品和技术的进出口（不另附进出口的商品目录），但国家限定公司经营或禁止进出口的商品及技术除外；2、批发：纺织品、棉花、饲料、服装、建筑材料、五金交电、化工材料（须经前臵审批许可的项目除外）、金属材料、包装材料、室内装饰材料、日用百货、机械电子设备、汽车零配件、摩托车零配件、矿产品（国家专控产品除外）、化肥；销售：燃料油（不含成品油及须经前臵审批许可的项目），收购农副产品（不含粮食、种子）；3、货物运输代理及咨询服务、货物仓储及相关服务的物流代理服务（以上不含货物运输）,物流供应链管理咨询",社会服务业,福建
C600058,五矿发展股份有限公司,"Minmetals Development Co., Ltd.",五矿发展,600058,钢铁及其炉料（包括铁矿砂、生铁、废钢、焦炭等）、废船、非金属矿产品及其制品、建筑材料、耐火材料等商品的自营和代理进出口业务。以上主营商品的生产和销售，自营和代理除国家组织统一经营的 16 种出口商品以外的其它商品的出口业务，自营和代理除国家实行核定公司经营的其余 13 种进口商品以外的其它商品的进口业务，技术进出口业务，进出口货物的运输和运输代理、仓储、保险业务，经营国际金融组织贷款和日本输出入银行能源贷款的直接采购和招标采购业务，经营外国政府贷款、出口信贷、现汇项下的国家和地方重点建设项目的技术和成套,批发和零售贸易,北京
C600059,浙江古越龙山绍兴酒股份有限公司,"Zhejiang Guyuelongshan Shaoxing Wine Co., ltd",古越龙山,600059,"许可经营项目：黄酒、白酒、食用酒精（不含化学危险品）、调味料（液体）的制造、销售。一般经营项目：黄酒、白酒、饮料、食用酒精（不含化学危险品）、调味料（液体）、副食品及食品原辅料、玻璃制品的技术开发；玻璃制品的制造、销售；经营本企业或成员企业自产产品及相关技术出口业务；经营本企业或本企业成员企业生产科研所需原辅材料、机械设备、仪器仪表、零配件等商品及相关技术的进口业务；承办中外合资经营、合作生产及开展""三来一补""业务。（上述经营范围不含国家法律法规规定禁止、限制和许可经营的项目。）",制造业,浙江
C600060,青岛海信电器股份有限公司,"Hisense Electric Co., ltd.",海信电器,600060,"    电视机、平板显示器件、移动电话、电冰箱、电冰柜、洗衣机、热水器、微波炉、以及洗碗机、电熨斗、电吹风、电炊具等小家电产品、广播电视设备、电子计算机、通讯产品、移动通信设备、信息技术产品、家用商用电器和电子产品的研发、制造、销售、服务、维修和回收;非标准设备加工、安装售后服务;自营进出口业务(按外经贸部核准项目经营);生产:卫星电视地面广播接收设备。房屋租赁、机械与设备租赁、物业管理。(以上范围需经许可经营的,须凭许可证经营)。",制造业,山东
C600061,中纺投资发展股份有限公司,"Sinotex Investment & Development Co., Ltd",中纺投资,600061,纺织原材料、纺织新型材料、纺织品、特种纤维、跨行业新材料的开发、生产、批发、零售、代购、代销、进出口，实业投资，保税贸易；本公司的兼营业务为：与上述产品相关的技术服务、咨询服务、信息服务。自营和代理各类商品及技术的进出口业务（不另附进出口商品目录），但国家限定公司经营和国家禁止进出口的商品及技术除外；经营进料加工和“三来一补”业务；开展对外贸易和转口贸易等。,制造业,上海
C600062,华润双鹤药业股份有限公司,"China Resources Double－crane Pharmaceutical Co., ltd.",华润双鹤,600062,"    许可经营项目：加工、制造大容量注射剂、小容量注射剂、冻干粉针剂、冲洗剂、口服溶液剂、涂剂、片剂、颗粒剂、硬胶囊剂、原料药、乳剂、凝胶剂、口服混悬剂、医疗用毒性药品、精神药品、软胶囊剂、滴眼剂、气雾剂、中药提取、制药机械设备(具体生产范围以《药品生产许可证》为准)。 
    一般经营项目：销售公司自产产品、机械电器设备；技术开发、技术转让、技术服务(未经专项审批项目除外)；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外；经营进料加工和""三来一补""业务；经营对销贸易?",制造业,北京
C600063,安徽皖维高新材料股份有限公司,Anhui Wanwei Updated High-Tech Material Industry Company Limited,皖维高新,600063,"水泥用石灰石开采，氧气、溶解乙炔、醋酸乙烯、电石、工业乙酸酐、工业冰乙酸、乙醛、醋酸甲酯生产与销售。公司一般经营项目：各种高低聚合度和醇解度的PVA系列产品、高强高模聚乙烯醇纤维、超高强高模PVA短纤及长丝、PVA水溶性纤维、聚乙烯醇强力纱、涤纶纤维、聚酯切片、聚醋酸乙烯乳液、高档面料、化工产品、水泥、石灰生产与销售，工业与民用建筑工程施工三级（限建筑分公司经营），设备安装，机械加工,铁路轨道衡计量经营，建筑用石料、水泥用混合材的生产与销售。（以工商行政管理部门核准为准）",制造业,安徽
C600064,南京高科股份有限公司,Nanjing Gaoke Company Limited,南京高科,600064,高新技术产业投资、开发；市政基础设施建设、投资及管理（市政公用工程施工总承包二级）；土地成片开发；建筑安装工程；商品房开发、销售；物业管理、自有房屋租赁；工程设计；咨询服务；污水处理、环保项目建设、投资及管理。,房地产业,江苏
